Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
8,5,8,Right-handed,Second
6,5,7,Right-handed,First
6,5,7,Right-handed,First
7,2,8,Right-handed,First
6,3,7.5,Right-handed,First
6,7,6,Right-handed,Fourth or Higher
4,15,9,Right-handed,Second
7,6,6,Right-handed,First
7,20,6,Right-handed,First
4,3,6,Left-handed,Third
8,10,6,Right-handed,First
6,5,8,Right-handed,Second
7,18,8,Right-handed,Second
6,3,7.5,Right-handed,Third
7,8,7.5,Right-handed,First
8,4,9,Right-handed,First
7,5,7,Right-handed,First
8,3,6,Left-handed,Second
7,10,7,Right-handed,First
5,8,7.5,Right-handed,First
2,3,7,Right-handed,First
3,6,7.5,Right-handed,Third
7,2,8,Right-handed,Fourth or Higher
7,18,8,Right-handed,First
8,17,7,Right-handed,First
4,4,7,Right-handed,Second
7,15,7,Right-handed,Second
6,5,7,Right-handed,First
3,3,8,Right-handed,First
3,2,8,Right-handed,Fourth or Higher
4,5,7,Right-handed,Third
5,15,7,Right-handed,First
8,3,7,Right-handed,First
4,3,7,Right-handed,Second
6,6,5,Right-handed,Second
3,10,8,Right-handed,Second
3,5,8,Right-handed,Second
7,5,7,Right-handed,Second
5,10,9,Right-handed,Second
8,4,6,Right-handed,Third
3,5,7,Right-handed,First
7,8,8,Right-handed,Second
9,20,6,Right-handed,Second
8,9,5,Right-handed,Second
6,15,7.5,Right-handed,First
5,12,6.5,Right-handed,First
6,5,7,Right-handed,Second
7,6,8,Right-handed,Third
6,5,7,Right-handed,Second
10,15,6,Left-handed,Second
6,2,6,Right-handed,Second
7,7,7,Right-handed,Third
3,3,6,Right-handed,First
3,3,6,Right-handed,Second
8,2,5.5,Ambidextrous / It's Complicated,First
8,10,7,Right-handed,First
6,10,7,Right-handed,Second
9,30,7,Right-handed,First
6,5,7,Right-handed,First
3,3,8,Right-handed,Third
9,6,7,Right-handed,Third
9,5,7,Right-handed,Third
4,2,6,Right-handed,Third
6,15,7,Right-handed,First
5,12,8,Right-handed,First
3,11,7.5,Right-handed,First
7,10,9,Right-handed,Third
5,5,6,Ambidextrous / It's Complicated,Second
5,4,7,Right-handed,Third
3,10,8,Right-handed,Second
8,7,6,Right-handed,First
7,5,7,Right-handed,First
2,4,6,Right-handed,First
4,10,8,Right-handed,First
8,15,7,Right-handed,First
4,3,7,Right-handed,Third
9,5,7.5,Right-handed,First
6,4,8,Right-handed,Second
5,10,6,Right-handed,Second
6,7,7,Right-handed,Second
8,3,7,Right-handed,Second
6,5,6,Right-handed,Third
3,3,7,Right-handed,Second
8,7,6,Right-handed,Second
6,4,8,Right-handed,Second
8,12,7,Right-handed,First
9,7,6,Right-handed,Second
7,5,7,Left-handed,Third
5,10,7,Right-handed,First
4,4,8,Right-handed,First
4,10,8,Left-handed,Second
7,5,6,Right-handed,Second
3,3,10,Right-handed,First
5,8,8,Right-handed,Fourth or Higher
7,3,7,Right-handed,Second
6,20,7,Right-handed,Fourth or Higher
8,7,7,Right-handed,Third
3,7,6,Right-handed,First
6,3,8,Right-handed,Third
7,5,8,Right-handed,First
6,6,8,Right-handed,Second
3,4,7,Right-handed,Second
3,3,7,Right-handed,Fourth or Higher
5,3,6,Right-handed,Second
4,10,7,Right-handed,Third
6,30,8.5,Left-handed,First
7,10,6,Right-handed,Fourth or Higher
5,3,6,Right-handed,Second
7,5,7,Right-handed,First
3,1,7,Right-handed,Second
5,3,8,Left-handed,Third
8,10,8,Right-handed,Second
7,10,8,Right-handed,First
7,6,8,Right-handed,First
7,10,9,Right-handed,First
6,12,6,Right-handed,Third
3,2,7,Right-handed,Second
7,5,8,Right-handed,Third
3,10,7,Right-handed,Second
6,4,6,Right-handed,Third
3,5,8,Right-handed,Third
9,7,6,Right-handed,Second
10,5,6,Right-handed,Second
7,10,8,Right-handed,Second
9,5,6,Right-handed,Second
8,15,8,Right-handed,Second
5,9,7,Right-handed,Third
8,10,7,Right-handed,Second
8,60,5,Right-handed,First
6,4,8,Right-handed,Fourth or Higher
6,10,8,Right-handed,Third
9,6,8,Right-handed,Fourth or Higher
6,10,6,Right-handed,Second
7,4,7,Left-handed,Fourth or Higher
4,10,8,Right-handed,Second
4,20,8,Right-handed,First
3,8,8,Right-handed,First
6,4,7,Right-handed,First
5,5,7,Right-handed,Second
5,3,7,Right-handed,Third
4,6,7,Right-handed,First
4,10,7,Right-handed,First
7,10,8,Right-handed,Fourth or Higher
2,4,7,Right-handed,Third
3,3,6,Right-handed,Second
7,5,6,Right-handed,First
5,8,6,Right-handed,Third
9,15,6,Right-handed,First
7,5,8,Left-handed,Second
4,2,5,Right-handed,Second
